Balance;Addresses;Addresses_Percents;Coins;USD;Coins_Percents
(0 - 0.001);20558597;51.49;4269;218344095;0.02
(0.001 - 0.01);9974510;24.98;37843;1935379066;0.2
(0.01 - 0.1);6093513;15.26;197001;10075187491;1.04
(0.1 - 1);2489017;6.23;773551;39561546064;4.09
(1 - 10);667307;1.67;1704700;87183097942;9.02
(10 - 100);131793;0.33;4295637;219690893572;22.72
(100 - 1,000);13965;0.03;4008893;205025967619;21.2
(1,000 - 10,000);2074;0.01;5217673;266846375401;27.6
(10,000 - 100,000);85;0;2113841;108107749235;11.18
(100,000 - 1,000,000);3;0;553512;28308162196;2.93
