snapped_at;price;market_cap;total_volume
2021-01-01 00:00:00 UTC;29022;539438036436;43503516563
2021-01-02 00:00:00 UTC;29352;545593282215;34089717988
2021-01-03 00:00:00 UTC;32164;597887713054;57273436641
2021-01-04 00:00:00 UTC;33008;613616917626;178894068361
2021-01-05 00:00:00 UTC;31516;585726270249;74657165356
2021-01-06 00:00:00 UTC;34082;633651671519;67420500716
2021-01-07 00:00:00 UTC;36934;682743683563;71027195898
2021-01-08 00:00:00 UTC;39547;735339707368;78642959829
2021-01-09 00:00:00 UTC;40816;758971014787;82846468856
2021-01-10 00:00:00 UTC;40297;749347201463;55921808672
2021-01-11 00:00:00 UTC;38398;714078952009;73381123613
2021-01-12 00:00:00 UTC;35670;663380898829;111691569520
2021-01-13 00:00:00 UTC;33938;629751630408;68954134557
2021-01-14 00:00:00 UTC;37456;696668634091;65278944794
2021-01-15 00:00:00 UTC;39233;729751433670;57519444622
2021-01-16 00:00:00 UTC;36788;684304915288;63450740093
2021-01-17 00:00:00 UTC;36255;674660879866;55054325262
2021-01-18 00:00:00 UTC;35804;672291934493;50749258739
2021-01-19 00:00:00 UTC;36595;682647247200;46769030147
2021-01-20 00:00:00 UTC;36105;671734819189;51736994549
2021-01-21 00:00:00 UTC;35587;662434464441;58406615612
2021-01-22 00:00:00 UTC;30914;575205510268;69415314298
2021-01-23 00:00:00 UTC;32958;613271077002;69549742252
2021-01-24 00:00:00 UTC;32068;596744391345;43575409685
2021-01-25 00:00:00 UTC;32274;600595408892;42810544126
2021-01-26 00:00:00 UTC;32375;602517850752;50410553261
2021-01-27 00:00:00 UTC;32582;606573549810;48489676580
2021-01-28 00:00:00 UTC;30446;566661443732;51514291052
2021-01-29 00:00:00 UTC;33128;616625386428;51075972572
2021-01-30 00:00:00 UTC;34151;635688668064;97468515525
2021-01-31 00:00:00 UTC;34200;636624676861;52001249491
2021-02-01 00:00:00 UTC;33065;615013848827;42488649643
2021-02-02 00:00:00 UTC;33406;621908231690;49268860243
2021-02-03 00:00:00 UTC;35486;660664104637;50730704377
2021-02-04 00:00:00 UTC;37495;695794870716;49762137494
2021-02-05 00:00:00 UTC;36817;686453802173;54494811707
2021-02-06 00:00:00 UTC;38008;706320162929;47446256482
2021-02-07 00:00:00 UTC;39279;732453192637;57076868562
2021-02-08 00:00:00 UTC;38833;723434796638;53802559039
2021-02-09 00:00:00 UTC;46308;862413737411;86994225365
2021-02-10 00:00:00 UTC;46570;867164581003;78828431117
2021-02-11 00:00:00 UTC;44849;839561451461;70000356396
2021-02-12 00:00:00 UTC;47816;890629045244;66187179919
2021-02-13 00:00:00 UTC;47414;880620921496;61942185129
