date;price;market_cap;total_volume
2021-01-01;0,00471;597887561;127614764
2021-01-02;0,00554;707576208;244607104
2021-01-03;0,01060;1354819957;3117161274
2021-01-04;0,01009;1288354839;2306838511
2021-01-05;0,00959;1226307420;1238833461
2021-01-06;0,00984;1257877104;643097358
2021-01-07;0,01046;1331066851;699719978
2021-01-08;0,00978;1249855747;505843513
2021-01-09;0,00989;1264295436;423947677
2021-01-10;0,01022;1306799491;483402082
2021-01-11;0,00988;1263664503;430989179
2021-01-12;0,00886;1132719254;561767457
2021-01-13;0,00807;1022224681;343428361
2021-01-14;0,00865;1106626599;279274227
2021-01-15;0,00947;1211261062;475592505
2021-01-16;0,00933;1193371730;443710336
2021-01-17;0,00926;1185636962;358598771
2021-01-18;0,00903;1155387089;331381093
2021-01-19;0,00916;1180603793;292476114
2021-01-20;0,00905;1158893557;325744396
2021-01-21;0,00905;1158148987;313732430
2021-01-22;0,00816;1044842778;297156190
2021-01-23;0,00852;1087438950;293811760
2021-01-24;0,00857;1098138944;264407166
2021-01-25;0,00873;1118023170;255272294
2021-01-26;0,00837;1072613320;236268071
2021-01-27;0,00828;1053619539;211765469
2021-01-28;0,00744;948845594;221445010
2021-01-29;0,03264;4182699293;14941040932
2021-01-30;0,04735;6067971852;21756143388
2021-01-31;0,02852;3654877537;7417688491
2021-02-01;0,03799;4920829029;7755101292
2021-02-02;0,03459;4433684616;4656523409
2021-02-03;0,03162;4054295192;2444614955
2021-02-04;0,03738;4699500064;2696782678
2021-02-05;0,05428;6810395814;12004482930
2021-02-06;0,04706;6033220883;5160805641
2021-02-07;0,05788;7271788224;5679785681
2021-02-08;0,07908;10271067765;13793129135
2021-02-09;0,07923;10164021993;10823807112
2021-02-10;0,06998;8978311026;6181134723
2021-02-11;0,07299;9381046299;6304018582
2021-02-12;0,06975;8951728841;3377206172
2021-02-13;0,06947;8937647951;3548414349
2021-02-14;0,06687;8583843026;2275047526
2021-02-15;0,06203;7963525499;3318277601
2021-02-16;0,05691;7306725578;4042454025
2021-02-17;0,05408;6943871271;2717472447
2021-02-18;0,04914;6256910636;2259698808
2021-02-19;0,06019;7729583761;4660795048
2021-02-20;0,05550;7128326860;3048336602
2021-02-21;0,05513;7082310130;3342539176
2021-02-22;0,05661;7345301352;2723241990
2021-02-23;0,05353;6873239455;3430333609
2021-02-24;0,04750;6103500677;2366851289
2021-02-25;0,05706;7332961501;4399443853
2021-02-26;0,05022;6454021312;2469967978
2021-02-27;0,05054;6487737134;1862673178
2021-02-28;0,05087;6538921364;1478258322
2021-03-01;0,04824;6201387147;1576893241
2021-03-02;0,05102;6561571713;1652399316
2021-03-03;0,05057;6517554438;1424572957
2021-03-04;0,05075;6527074840;1233795414
2021-03-05;0,05014;6449361941;1337710788
2021-03-06;0,04992;6421657994;1358502536
2021-03-07;0,05088;6545855781;1561141044
2021-03-08;0,05184;6657773356;1014195811
2021-03-09;0,06168;7776184983;3627421089
2021-03-10;0,05787;7446831675;2529486918
2021-03-11;0,05620;7232723297;1677010512
2021-03-12;0,05595;7201587925;1390253343
2021-03-13;0,05511;7094349921;1349377295
2021-03-14;0,06193;7750447457;1908931774
2021-03-15;0,05883;7610317578;2759123152
2021-03-16;0,05688;7324737827;1743281980
2021-03-17;0,05867;7556337742;1451939103
2021-03-18;0,05837;7517749273;989940709
2021-03-19;0,05764;7429523848;990194954
2021-03-20;0,05844;7528469477;1081897762
2021-03-21;0,05916;7634534868;1130635906
2021-03-22;0,05738;7393832359;947849286
2021-03-23;0,05559;7186846706;895730940
2021-03-24;0,05377;6929411776;995604161
2021-03-25;0,05180;6729987270;1043427664
2021-03-26;0,05101;6575327768;1229615851
2021-03-27;0,05383;6940289325;834542001
2021-03-28;0,05479;6962666598;1017584672
2021-03-29;0,05440;7015286858;833678868
2021-03-30;0,05490;7079729288;933464548
2021-03-31;0,05465;7046811980;1141286834
2021-04-01;0,05438;7014689873;1042337641
2021-04-02;0,06159;7924888033;5955711022
2021-04-03;0,05787;7507812668;2448301265
2021-04-04;0,05619;7298466979;1457244564
2021-04-05;0,05790;7463266116;1303803800
2021-04-06;0,05982;7715037292;1822202973
2021-04-07;0,06463;8342298640;2979685711
2021-04-08;0,05896;7655108665;2977233569
2021-04-09;0,06168;7962866152;1254061265
2021-04-10;0,06154;7936596412;1235176274
2021-04-11;0,06388;8249317321;1492859570
2021-04-12;0,07465;9687276639;6594980841
2021-04-13;0,07102;9196724800;2913823059
2021-04-14;0,09378;12113258471;7372508507
2021-04-15;0,12017;15701118351;19595646414
2021-04-16;0,17986;22780764221;17675455194
2021-04-17;0,37416;48767205447;50960650647
2021-04-18;0,28511;37483584822;30301421158
2021-04-19;0,32003;41360056945;23753545992
2021-04-20;0,40941;53086953476;30847872454
2021-04-21;0,32570;43064103591;28256320647
2021-04-22;0,30841;39871679938;11245621591
2021-04-23;0,26379;34105735063;12372638670
2021-04-24;0,24926;32231128597;17283487906
2021-04-25;0,27049;34979989822;10807971321
2021-04-26;0,25254;33051358530;6742402257
2021-04-27;0,27183;35161130279;6413613557
2021-04-28;0,27173;35151669025;4324871047
