Balance;Addresses;Addresses_Percents;Coins;USD;Coins_Percents
(0 - 0.001);297156;6.38;3.67;0.6830;0
(0.001 - 0.01);8008;0.17;35.69;6.64;0
(0.01 - 0.1);39654;0.85;1617;300.87;0
(0.1 - 1);81021;1.74;39693;7386;0
(1 - 10);1086636;23.32;3602425;670375;0
(10 - 100);879383;18.87;38576630;7178726;0.03
(100 - 1,000);1238386;26.57;460611942;85715285;0.35
(1,000 - 10,000);740477;15.89;2404247752;447406509;1.81
(10,000 - 100,000);251057;5.39;6840247710;1272901825;5.16
(100,000 - 1,000,000);33620;0.72;8857894088;1648365677;6.68
(1,000,000 - 10,000,000);4231;0.09;10924372721;2032916725;8.24
(10,000,000 - 100,000,000);696;0.01;20993084509;3906603491;15.84
(100,000,000 - 1,000,000,000);75;0;20678461613;3848055310;15.6
(1,000,000,000 - 10,000,000,000);14;0;30359784383;5649652846;22.91
(10,000,000,000 - 100,000,000,000);1;0;30984599232;5765924653;23.38
